구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,S/N단가,S/N단가,S/N단가,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,발주,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,입고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,출고,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,POS판매,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,물류재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,매장재고,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,보유매장,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고,미입고
품번,품번2,품명,대분류,중분류,소분류,담당,관계사팀,중포,카톤,등급,상태,업체명,산지,구입가,판매가,"정상
재고",일출고량,미입고,입고예정,사진주소,통화,금액,"재고
일수",26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04,26/11,26/12,26/01,26/02,26/03,26/04,26/05,26/06,26/07,26/08,26/09,26/10,26/11,26/12,26/01,26/02,26/03,26/04
1002277,1002277,남성용니플패치(6P),뷰티/퍼스널케어,이너웨어,언더웨어소품,정상윤,,12,300,필수,진행,씨디씨코리아,KR,430,1000,12204,476.16,7200,26/06/02 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/1002277.jpg,(￦),430,26,2400,4200,38400,3000,0,1200,20100,22800,14400,12600,3000,10200,1800,15600,3300,3000,0,16800,4800,0,4800,3000,37800,0,9300,20400,25200,9000,10200,6600,3600,2400,3300,18000,0,9600,4128,3024,3036,3612,4272,11555,16644,20556,22860,18106,13907,7140,5184,3416,3504,2340,3852,11964,3524,2537,2087,2268,4015,7265,12604,15687,16793,15025,10400,6854,3667,2527,2620,2587,3841,5101,4152,924,2700,2040,33864,23028,16272,14568,17136,8964,5592,4872,3972,2952,2844,18420,14472,12468,9275,9096,10733,10905,10385,11508,11778,11528,11558,9840,10256,9064,9281,9557,9757,8701,7490,11802,759,755,855,857,845,888,880,882,889,883,910,893,904,924,928,870,751,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200
1006841,1006841,시크릿니플밴드12매,뷰티/퍼스널케어,이너웨어,언더웨어소품,정상윤,,20,400,필수,진행,주식회사 누리메딕스,KR,450,1000,14480,876.8,8000,26/05/19 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/1006841.jpg,(￦),450,17,4800,12000,4800,7200,21600,36800,40000,59200,43200,20800,25200,19200,0,28800,10400,0,16000,24000,7200,12000,7200,7200,16800,19200,49600,48000,43200,36800,20400,19200,12800,4800,4800,29600,6400,25600,11080,7460,7499,6880,12925,21480,36598,44332,49799,38740,32980,19159,9540,7409,7740,8780,16540,24080,7557,5593,4894,4938,9428,15643,25610,32720,34848,30749,22826,14590,7909,5756,5298,5818,10678,14801,3120,7360,7360,7480,10280,7360,21160,21380,15820,14820,3380,4540,8020,5620,2560,22660,12100,15240,12202,11919,13787,14117,13815,13350,13767,13334,14553,12173,13732,12813,12094,11850,11869,12645,14022,14029,768,770,873,876,883,875,887,891,905,882,918,915,907,921,917,924,928,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
1027015,1027015,무봉제부착형브라,뷰티/퍼스널케어,이너웨어,언더웨어소품,정상윤,,12,120,선택1,진행,씨디씨코리아,KR,2620,5000,4104,53.22,960,26/06/13 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/1027015.jpg,(￦),2620,77,1800,2640,11280,3360,0,1920,1920,3840,5760,1920,480,0,240,7080,1200,840,0,960,1800,720,2280,3360,10920,1920,960,1920,6240,3360,1440,0,0,1080,1680,6600,0,0,1902,1950,2671,1147,3202,3882,3815,4365,5502,4782,1437,922,862,740,1042,1018,1531,1221,1745,1861,1688,1643,1876,2033,2380,3367,4512,4069,2062,1599,884,1033,927,927,1094,1174,1966,624,301,1266,9462,8034,5322,2574,3438,2286,2274,1326,546,696,1260,6852,5232,4140,5177,4929,6237,5591,6452,7400,8126,8453,8364,8035,7033,6082,5678,5250,5058,4937,5175,4815,614,604,696,666,710,749,803,859,881,829,796,754,719,686,665,652,626,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960
1028010,1028010,브라연장후크(3개입),뷰티/퍼스널케어,이너웨어,언더웨어소품,정상윤,HMP)패션잡화/의류팀,12,240,선택2,진행,(주)아성에이치엠피,CN,490,1000,0,0,0,현재 결품 중 입고예정없음,http://gds.daiso.co.kr/img/gds/1/10/1028010.jpg,(￦),490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-1,-1,-2,-1,0,0,0,0,0,0,0,20,0,0,0,0,265,120,74,44,37,21,12,8,13,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,217,152,101,68,45,32,21,9,7,6,6,5,4,5,5,4,4,133,84,61,47,32,25,16,10,6,5,5,5,5,4,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10300571,10300571,단추달린 트렁크 팬티(100)(블루),뷰티/퍼스널케어,이너웨어,남성이너웨어,정상윤,HMP)패션잡화/의류팀,12,96,선택2,진행,(주)아성에이치엠피,CN,1802.811,3000,7812,79.68,10176,26/07/09 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/10300571.jpg,(＄),1.23,98,0,0,0,0,0,0,0,0,8064,3072,12192,5088,0,0,10176,0,0,0,0,0,0,5088,11136,16128,0,0,0,0,0,8064,0,3072,12192,0,5088,0,0,0,0,408,3444,2915,4079,4043,12958,4509,-6,382,7680,395,2663,5400,2002,2015,0,0,0,2,440,1280,1975,2128,5587,6434,1405,693,2381,1581,1412,1285,1399,1236,0,0,0,4668,12180,25332,21276,17052,3432,0,0,6672,0,2532,12120,6708,9732,7860,0,0,0,250,2114,2120,2464,2791,6940,3360,1939,1461,4819,3557,3980,3733,3602,3733,0,0,0,21,191,223,237,279,766,561,409,317,582,532,545,522,484,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10176,0,0,0
10300582,10300582,단추달린 트렁크 팬티(105)(블루),뷰티/퍼스널케어,이너웨어,남성이너웨어,정상윤,HMP)패션잡화/의류팀,12,96,필수,진행,(주)아성에이치엠피,CN,1802.811,3000,5016,228,10176,26/06/12 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/10300582.jpg,(＄),1.23,22,0,0,0,0,0,20064,0,0,6624,0,24576,3072,0,0,10176,0,0,0,0,0,0,5088,10176,8544,0,7584,0,20064,0,6624,0,0,17952,6624,3072,0,0,0,0,1572,9623,3288,8623,3106,5156,4807,11336,4484,5841,219,7689,4041,4902,5718,0,0,0,10,2348,4124,5432,4289,4540,3497,5168,4834,4313,3178,3112,3756,3864,3502,0,0,0,3408,3804,8040,492,4752,0,12768,3324,5004,36,0,10092,12576,10716,5280,0,0,0,1394,7160,5052,6745,5136,4410,4924,8564,7361,7455,4400,7911,7314,7459,8522,0,0,0,117,701,645,733,673,601,592,874,858,863,694,883,886,886,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10176,0,0,0
10340101,10340101,여성 캐미솔(M)_블랙,뷰티/퍼스널케어,이너웨어,여성이너웨어,정상윤,HMP)패션잡화/의류팀,12,72,선택2,진행,(주)아성에이치엠피,CN,1214.748,2000,9288,62,0,26/08/31 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/10340101.jpg,(＄),0.82,150,0,0,0,0,0,0,0,5040,7056,0,12096,0,0,0,0,0,0,0,0,0,0,0,23040,0,0,0,0,0,0,12096,0,0,12096,0,0,0,0,0,0,0,10116,2052,2459,4187,4221,0,-2,1704,996,732,960,7955,912,1560,0,0,0,0,1368,2241,2653,3728,3900,2207,1079,814,856,800,779,732,974,1000,0,0,0,0,12768,10740,8268,3924,0,0,0,10212,9288,8616,19764,11844,10896,9372,0,0,0,0,7415,6911,6261,6202,6236,3998,2945,3688,3650,3472,3510,3589,3364,3512,0,0,0,0,661,690,675,666,765,615,511,526,498,483,474,463,438,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10340102,10340102,여성 캐미솔(M)_베이지,뷰티/퍼스널케어,이너웨어,여성이너웨어,정상윤,HMP)패션잡화/의류팀,12,72,선택2,진행,(주)아성에이치엠피,CN,1214.748,2000,8088,61,0,26/12/21 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/10340102.jpg,(＄),0.82,133,0,0,0,0,0,0,0,0,0,5040,7056,0,0,0,0,0,0,0,0,0,0,3024,20016,0,0,0,0,0,0,0,0,0,12096,0,0,0,0,0,0,444,4644,1464,1739,7008,1823,-542,1740,3418,598,540,744,720,1044,1534,0,0,0,9,512,1029,1361,1625,1554,1598,1240,1242,1104,943,949,900,1227,1338,0,0,0,2520,17820,16416,14652,7608,5748,6372,4644,1212,660,108,11484,10728,9684,8208,0,0,0,303,3258,3276,3284,3473,5479,5092,5187,7184,6511,6023,5608,5309,4877,4545,0,0,0,26,266,296,309,337,491,497,504,631,623,620,597,590,563,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10340111,10340111,여성 캐미솔(L)_블랙,뷰티/퍼스널케어,이너웨어,여성이너웨어,정상윤,HMP)패션잡화/의류팀,12,72,선택2,진행,(주)아성에이치엠피,CN,1214.748,2000,9672,52.8,0,26/09/14 이후 결품 예상,http://gds.daiso.co.kr/img/gds/1/10/10340111.jpg,(＄),0.82,183,0,0,0,0,0,0,0,5040,7056,12096,0,0,0,0,0,0,0,0,0,0,0,0,22032,0,0,0,0,0,0,12096,0,0,12096,0,0,0,0,0,0,0,10571,1870,2062,3744,3779,-1,0,1500,1367,566,816,7800,1056,1390,0,0,0,0,1293,2049,2331,3463,3616,2405,1157,642,860,722,742,659,879,950,0,0,0,0,11256,9468,7380,3600,0,0,0,10164,9156,8652,19884,12120,11016,9696,0,0,0,0,7937,7387,6798,6596,6483,4080,2938,3706,3839,3672,3565,3653,3575,3644,0,0,0,0,699,725,719,697,761,601,473,500,491,489,462,452,441,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
